transactionslist,cnt
"smartphone,smartphone,smartphone,telephone,telephone",1
"microwave,meat_grinder",1
"memory,memory",1
"smartphone,chair",1
"acoustic,smartphone",1
"smartphone,washer,tv",1
"tv,shoes",1
"notebook,notebook,telephone,smartphone,smartphone",1
"tablet,shoes",1
"desktop,tv,vacuum",1
"refrigerators,refrigerators,washer,smartphone,washer",1
"smartphone,headphone,clocks",1
"tv,tv,refrigerators",1
"printer,desktop",1
"refrigerators,smartphone,vacuum",1
"vacuum,kettle",1
"headphone,refrigerators",1
"smartphone,notebook,notebook,smartphone,headphone",1
"smartphone,player,player,smartphone",1
"meat_grinder,tv",1
"smartphone,kettle,kettle",1
"scales,vacuum",1
"headphone,subwoofer",1
"smartphone,saw,saw",1
"vacuum,vacuum,tv,headphone",1
"smartphone,blender,blender",1
"carriage,clocks",1
"smartphone,microphone",1
"tablet,videoregister,videoregister",1
"dishwasher,smartphone",1
"desktop,videocards,videocards,hdd",1
"smartphone,pillow",1
"hob,washer",1
"meat_grinder,meat_grinder,meat_grinder,saw,pump,pump,pump,pump,pump,generator,saw,saw,washer,washer",1
"meat_grinder,washer",1
"tablet,scales",1
"air_conditioner,tv,smartphone,air_conditioner",1
"notebook,smartphone,subwoofer",1
"refrigerators,tv,washer",1
"smartphone,smartphone,drill",1
"vacuum,player,vacuum",1
"bed,microwave",1
"drill,smartphone",1
"tv,tablet,headphone",1
"tv,tv,smartphone,telephone,telephone",1
"tablet,vacuum",1
"notebook,headphone",1
"sofa,smartphone",1
"bicycle,tv",1
"dishwasher,refrigerators",1
"smartphone,headphone,smartphone,smartphone,smartphone,smartphone,smartphone,subwoofer",1
"smartphone,meat_grinder,kettle",1
"tv,meat_grinder",1
"vacuum,desktop",1
"microwave,oven,hob",1
"smartphone,notebook,tablet,smartphone",1
"air_heater,tv",1
"tv,smartphone,notebook,sofa,clocks",1
"tv,video",1
"telephone,smartphone,telephone",1
"coffee_machine,tablet",1
"refrigerators,dishwasher",1
"sofa,vacuum,oven,washer,washer",1
"smartphone,notebook,notebook,notebook,notebook",1
"notebook,washer",1
"bicycle,bicycle,smartphone",1
"kettle,refrigerators",1
"desktop,desktop,monitor",1
"monitor,desktop",1
"vacuum,printer",1
"smartphone,desktop,headphone",1
"video,smartphone,video,video,video,video",1
"alarm,smartphone",1
"tv,smartphone,saw",1
"smartphone,smartphone,desktop,desktop",1
"refrigerators,washer,vacuum",1
"telephone,telephone,vacuum",1
"clocks,sewing_machine",1
"motherboard,hdd",1
"desktop,smartphone,videocards",1
"microwave,microwave,smartphone",1
"smartphone,smartphone,refrigerators,refrigerators,washer",1
"tv,tv,vacuum",1
"vacuum,microwave,juicer",1
"smartphone,vacuum,oven",1
"smartphone,telephone,notebook",1
"smartphone,juicer",1
"smartphone,subwoofer,air_conditioner,vacuum,tv",1
"tv,oven",1
"smartphone,smartphone,smartphone,bicycle,bicycle",1
"headphone,headphone,cartrige",1
"mixer,headphone,headphone",1
"cabinet,vacuum",1
"kettle,kettle,smartphone",1
"smartphone,vacuum,bed",1
"meat_grinder,smartphone,smartphone",1
"kettle,headphone",1
"ironing_board,smartphone",1
"vacuum,microphone",1
"smartphone,scales",1
"water_heater,tv",1
"refrigerators,refrigerators,hair_cutter",1
"vacuum,vacuum,oven",1
"clocks,air_heater",1
"air_conditioner,smartphone",1
"tablet,kettle",1
"washer,smartphone,printer",1
"tv,air_conditioner,notebook,smartphone,microwave",1
"vacuum,vacuum,iron",1
"tablet,printer",1
"clocks,videoregister",1
"tv,desktop",1
"faucet,faucet,vacuum,subwoofer",1
"compressor,smartphone",1
"headphone,headphone,smartphone",1
"refrigerators,faucet",1
"hob,tv,refrigerators",1
"blender,tablet",1
"tv,videoregister",1
"meat_grinder,tablet",1
"refrigerators,keds,smartphone",1
"smartphone,smartphone,video,smartphone,smartphone",1
"hob,air_conditioner",1
"smartphone,smartphone,subwoofer,alarm",1
"tablet,tablet,keds",1
"headphone,clocks,smartphone",1
"dishwasher,refrigerators,washer,oven",1
"tv,tv,smartphone,tv",1
"tablet,mixer",1
"kettle,microwave,meat_grinder",1
"hood,kettle,iron,vacuum,microwave",1
"ironing_board,chair,washer",1
"smartphone,toster",1
"tv,refrigerators,refrigerators",1
"kettle,vacuum,iron",1
"subwoofer,tv",1
"tv,tv,clocks,clocks",1
"headphone,clocks,clocks",1
"printer,vacuum",1
"washer,printer,washer",1
"tv,smartphone,bed,bed",1
"oven,hob",1
"vacuum,iron,iron,iron,iron",1
"smartphone,smartphone,tv,refrigerators",1
"clocks,telephone",1
"microwave,kettle,kettle",1
"tv,notebook,notebook,notebook,notebook",1
"hob,hob,hood,tv",1
"printer,notebook",1
"vacuum,smartphone,vacuum,vacuum",1
"tv,hob,washer",1
"meat_grinder,smartphone,notebook",1
"oven,microwave",1
"headphone,headphone,smartphone,smartphone,smartphone",1
"vacuum,kettle,ironing_board",1
"vacuum,iron,tv",1
"saw,washer",1
"tv,tv,tv,desktop,desktop,desktop",1
"smartphone,water_heater,microwave",1
"tv,chair",1
"smartphone,dishwasher,washer",1
"smartphone,microwave,vacuum",1
"smartphone,clocks,clocks,clocks",1
"videoregister,tv,tv,smartphone",1
"vacuum,player",1
"microwave,mixer",1
"tablet,tv,refrigerators",1
"washer,notebook",1
"juicer,oven,smartphone",1
"tv,microwave,videoregister,smartphone,refrigerators",1
"smartphone,microwave,toster",1
"smartphone,washer,refrigerators,refrigerators",1
"vacuum,vacuum,microwave,microwave,clocks",1
"smartphone,alarm,smartphone",1
"smartphone,smartphone,smartphone,acoustic,headphone",1
"vacuum,microwave,scales",1
"headphone,headphone,smartphone,telephone",1
"headphone,blender",1
"vacuum,iron,ironing_board",1
"notebook,tablet,notebook",1
"sewing_machine,tv",1
"smartphone,smartphone,smartphone,oven,oven",1
"desktop,desktop,smartphone",1
"vacuum,air_heater",1
"microwave,blender",1
"smartphone,notebook,notebook,smartphone,tv",1
"hob,oven,tv,washer",1
"shoes,shoes,shoes,tablet,notebook",1
"mixer,tv",1
"mixer,smartphone",1
"tablet,notebook,notebook",1
"shoes,vacuum",1
"smartphone,scales,scales",1
"washer,tv,tv,cabinet",1
"smartphone,clocks,wallet",1
"shoes,shoes,smartphone",1
"dishwasher,washer,dishwasher,meat_grinder",1
"smartphone,air_conditioner,tv,smartphone",1
"smartphone,smartphone,skates",1
"monitor,tv",1
"subwoofer,tv,tv",1
"smartphone,notebook,vacuum",1
"smartphone,tablet,costume",1
"washer,smartphone,tv",1
"hob,hood",1
"cpu,smartphone",1
"player,tv",1
"washer,oven,oven",1
"toster,vacuum",1
"videoregister,clocks",1
"notebook,notebook,notebook,headphone",1
"smartphone,tv,microwave",1
"washer,oven,smartphone",1
"smartphone,clocks,skates",1
"smartphone,mouse",1
"tv,player",1
"costume,smartphone",1
"smartphone,blender,telephone",1
"smartphone,smartphone,radar",1
"hob,tv",1
"clocks,smartphone,microwave",1
"kettle,smartphone,microwave",1
"vacuum,smartphone,smartphone,smartphone",1
"blender,clocks",1
"memory,memory,monitor",1
"refrigerators,notebook,vacuum,refrigerators",1
"tv,printer",1
"jeans,smartphone",1
"desktop,headphone",1
"headphone,ebooks",1
"tablet,tablet,toys",1
"refrigerators,microwave,washer,smartphone",1
"smartphone,smartphone,smartphone,bag",1
"generator,vacuum",1
"bed,vacuum,smartphone",1
"tv,tv,tv,tablet",1
"tv,smartphone,washer",1
"refrigerators,headphone",1
"washer,saw",1
"smartphone,telephone,headphone,headphone",1
"washer,kettle",1
"air_heater,vacuum",1
"smartphone,smartphone,telephone,smartphone,smartphone,smartphone,smartphone,telephone",1
"swing,smartphone,vacuum",1
"vacuum,iron,carriage",1
"water_heater,vacuum,vacuum",1
"trainer,smartphone",1
"vacuum,clocks,clocks",1
"sofa,tv",1
"meat_grinder,microwave",1
"tv,smartphone,notebook",1
"dishwasher,hood,oven",1
"smartphone,skates",1
"smartphone,smartphone,piano",1
"smartphone,oven,tv",1
"smartphone,underwear",1
"keds,smartphone,keds,keds",1
"refrigerators,iron",1
"printer,printer,smartphone",1
"washer,hood",1
"videoregister,keds,clocks",1
"tv,cabinet",1
"headphone,meat_grinder",1
"tablet,player,notebook",1
"tv,keds",1
"videoregister,videoregister,clocks",1
"smartphone,oven,oven",1
"meat_grinder,shoes,smartphone",1
"blender,blender,smartphone",1
"toster,smartphone",1
"notebook,smartphone,tv,smartphone",1
"videoregister,smartphone,videoregister,headphone",1
"radar,tv,radar",1
"refrigerators,smartphone,smartphone,dolls,clocks",1
"smartphone,notebook,microwave",1
"videocards,smartphone",1
"smartphone,subwoofer,subwoofer,player,subwoofer,shoes",1
"tablet,refrigerators",1
"smartphone,notebook,headphone,smartphone,tv,washer",1
"smartphone,refrigerators,washer",1
"notebook,smartphone,notebook",1
"tv,sewing_machine,smartphone",1
"smartphone,videoregister,videoregister",1
"coffee_machine,microwave,grill",1
"refrigerators,tablet",1
"washer,blender",1
"vacuum,washer,washer",1
"smartphone,chair,smartphone,smartphone",1
"welding,welding,smartphone",1
"monitor,monitor,monitor,memory,memory,memory,memory,memory",1
"dolls,smartphone",1
"tv,refrigerators,washer",1
"hob,hob",1
"headphone,headphone,smartphone,notebook,notebook,smartphone,smartphone,smartphone",1
"smartphone,washer,vacuum",1
"meat_grinder,refrigerators,vacuum",1
"smartphone,hair_cutter,hair_cutter,headphone",1
"refrigerators,tv,refrigerators",1
"notebook,clocks,notebook,notebook",1
"smartphone,massager",1
"tv,tablet,smartphone",1
"washer,washer,washer,washer,tv",1
"smartphone,blanket,blanket",1
"smartphone,smartphone,swing",1
"refrigerators,refrigerators,hood",1
"smartphone,tonometer",1
"notebook,smartphone,bag",1
"smartphone,piano",1
"smartphone,player,headphone",1
"smartphone,juicer,tablet",1
"smartphone,diapers,diapers,diapers,smartphone",1
"iron,iron,vacuum,notebook,notebook",1
"tv,power_supply",1
"smartphone,smartphone,smartphone,smartphone,telephone",1
"cabinet,tv",1
"telephone,tablet",1
"smartphone,smartphone,smartphone,smartphone,smartphone,meat_grinder",1
"shoes,clocks",1
"washer,printer",1
"tv,iron,drill,drill",1
"washer,air_heater,water_heater,smartphone,kettle",1
"smartphone,smartphone,bicycle",1
"smartphone,jeans,headphone",1
"photo,smartphone",1
"tv,sofa",1
"saw,smartphone",1
"tv,tv,notebook",1
"notebook,refrigerators,tv,microwave",1
"sewing_machine,vacuum",1
"smartphone,smartphone,alarm",1
"hob,microwave",1
"washer,scales",1
"motherboard,cpu,hdd",1
"washer,sofa",1
"tv,tv,iron",1
"smartphone,smartphone,notebook,notebook,smartphone",1
"subwoofer,bag,clocks",1
"smartphone,dolls",1
"vacuum,keds,shoes",1
"headphone,drill",1
"headphone,keds",1
"smartphone,videoregister,videoregister,player",1
"tv,air_heater",1
"notebook,notebook,tablet,tablet",1
"washer,washer,refrigerators",1
"washer,generator",1
"table,smartphone",1
"notebook,smartphone,tablet",1
"printer,smartphone,smartphone",1
"desktop,monitor,keyboard",1
"cpu,monitor,hdd,motherboard,power_supply",1
"smartphone,grill",1
"tv,bed",1
"water_heater,vacuum",1
"smartphone,headphone,desktop,desktop,monitor,monitor",1
"smartphone,smartphone,smartphone,headphone,headphone,smartphone",1
"water_heater,water_heater,water_heater,water_heater,water_heater,water_heater,water_heater,water_heater,water_heater,vacuum,water_heater,water_heater,water_heater,water_heater,water_heater,water_heater",1
"iron,vacuum,kettle",1
"meat_grinder,headphone",1
