transactionslist,cnt
"tv,headphone",12
"smartphone,keds",12
"clocks,clocks,clocks,clocks,clocks",11
"smartphone,smartphone,clocks,smartphone",11
"smartphone,smartphone,smartphone,smartphone,smartphone,smartphone,smartphone,smartphone,smartphone,tablet,tablet,smartphone",11
"vacuum,iron",11
"headphone,clocks",11
"smartphone,smartphone,headphone,headphone",11
"smartphone,meat_grinder",11
"smartphone,tv,smartphone,smartphone,smartphone,smartphone",11
"smartphone,smartphone,smartphone,vacuum",11
"vacuum,smartphone,smartphone",11
"tv,tv,tv,tv,smartphone",11
"clocks,headphone",10
"microwave,tv",10
"tv,tv,tv,tv,tv",10
"smartphone,tv,tv,smartphone,smartphone,smartphone",10
"tv,smartphone,smartphone,smartphone",10
"smartphone,smartphone,smartphone,notebook,smartphone,smartphone,smartphone,smartphone,smartphone,smartphone,smartphone,notebook",10
"vacuum,microwave",10
"smartphone,player",10
acoustic,10
"washer,washer,smartphone",10
"clocks,clocks,smartphone",10
"subwoofer,smartphone",9
"tv,notebook",9
"clocks,clocks,clocks,clocks,clocks,clocks,clocks,clocks,clocks",9
"washer,washer,washer,smartphone,smartphone,smartphone",9
"notebook,smartphone,smartphone,smartphone",9
"smartphone,smartphone,washer",9
"microwave,vacuum",9
"smartphone,blender",9
dishwasher,9
"printer,printer",9
"notebook,notebook,smartphone",9
"smartphone,smartphone,smartphone,smartphone,tablet,tablet,smartphone,smartphone,smartphone",9
"smartphone,kettle",9
"refrigerators,vacuum",9
"smartphone,smartphone,smartphone,clocks",8
"smartphone,shoes",8
"smartphone,smartphone,headphone,smartphone",8
"smartphone,subwoofer",8
"microwave,smartphone",8
"monitor,monitor,monitor",8
"smartphone,clocks,clocks",8
"tablet,tablet,smartphone",8
"tv,tv,tv,tv,tv,tv,tv,tv,tv",8
"smartphone,smartphone,vacuum",8
"smartphone,smartphone,microwave",8
"smartphone,desktop",8
"washer,washer,washer,washer,washer,washer",8
"washer,water_heater",8
"smartphone,smartphone,smartphone,smartphone,headphone",8
"smartphone,smartphone,smartphone,smartphone,smartphone,smartphone,smartphone,smartphone,washer",8
"smartphone,washer,washer",8
"smartphone,smartphone,tv,tv,tv,smartphone,smartphone,tv,tv",8
"smartphone,air_heater",8
"vacuum,tv,tv,tv",8
"vacuum,tv",8
"printer,smartphone",7
"tv,microwave",7
"desktop,smartphone",7
"oven,oven",7
"smartphone,videoregister",7
"clocks,smartphone,smartphone",7
"smartphone,smartphone,clocks,clocks",7
"videoregister,smartphone",7
"washer,headphone",7
"smartphone,carriage",7
"washer,iron",7
"smartphone,water_heater",7
"hood,hood",7
"tablet,smartphone,smartphone",7
"refrigerators,tv",7
"tv,tv,tv,tv,tv,tv,washer",7
"headphone,smartphone,smartphone,smartphone",7
"clocks,clocks,clocks,clocks,clocks,clocks,clocks,smartphone,smartphone,smartphone,smartphone,smartphone,notebook,smartphone",7
"smartphone,tv,tv",7
"smartphone,smartphone,smartphone,smartphone,smartphone,smartphone,notebook,notebook,notebook,smartphone,smartphone,smartphone,smartphone",7
"smartphone,clocks,smartphone,smartphone",7
"clocks,clocks,clocks,clocks,clocks,clocks,headphone",7
"washer,microwave",7
"telephone,smartphone",6
"smartphone,smartphone,smartphone,smartphone,notebook",6
"smartphone,oven",6
"smartphone,smartphone,smartphone,tv,smartphone",6
"smartphone,smartphone,smartphone,notebook,notebook",6
"smartphone,sewing_machine",6
"smartphone,tv,smartphone",6
"smartphone,vacuum,vacuum",6
"headphone,headphone,headphone,headphone,headphone,clocks",6
"smartphone,smartphone,kettle",6
"tv,tv,tv,tv,tv,tv,tv,tv",6
"smartphone,smartphone,tv,smartphone",6
"smartphone,smartphone,keds",6
"smartphone,alarm",6
"smartphone,smartphone,smartphone,smartphone,tv",6
"shoes,smartphone,smartphone",6
"smartphone,smartphone,smartphone,smartphone,smartphone,smartphone,telephone",6
"vacuum,vacuum,vacuum,vacuum",6
"smartphone,vacuum,smartphone",6
"smartphone,smartphone,smartphone,smartphone,smartphone,tablet,smartphone",6
"washer,vacuum,vacuum,vacuum",6
"tv,tv,refrigerators,refrigerators",6
"smartphone,headphone,headphone,smartphone,smartphone,smartphone,smartphone,smartphone",6
"tablet,tv,tv,tv,tablet,tablet",6
"smartphone,smartphone,smartphone,smartphone,smartphone,sofa,smartphone",6
"air_conditioner,smartphone,smartphone,smartphone,smartphone,smartphone,air_conditioner,smartphone",6
"smartphone,tv,smartphone,smartphone",6
"oven,smartphone",6
"smartphone,smartphone,acoustic,tv,tv,tv",5
"headphone,headphone,headphone,headphone,headphone",5
"smartphone,drill",5
"smartphone,smartphone,smartphone,smartphone,smartphone,desktop",5
"smartphone,smartphone,smartphone,smartphone,smartphone,clocks",5
"smartphone,headphone,headphone,headphone",5
"tv,smartphone,tv,tv",5
"smartphone,smartphone,smartphone,smartphone,dolls,smartphone",5
"smartphone,smartphone,tv,tv,smartphone,tv,smartphone,smartphone,smartphone",5
"smartphone,smartphone,smartphone,washer,washer",5
"tablet,tablet,smartphone,smartphone,tablet",5
"tablet,tablet,tablet,smartphone,telephone,tv",5
"smartphone,smartphone,smartphone,washer",5
"smartphone,smartphone,washer,smartphone,smartphone,smartphone",5
"washer,washer,washer,smartphone",5
"smartphone,smartphone,smartphone,tablet,smartphone",5
"player,smartphone",5
"notebook,tablet",5
"smartphone,smartphone,headphone,headphone,headphone",5
"keds,smartphone",5
"notebook,tv",5
"smartphone,tablet,smartphone",5
"smartphone,notebook,smartphone",5
"tv,microwave,microwave,microwave,microwave",5
"tv,tv,smartphone,smartphone",5
"smartphone,smartphone,iron",5
"smartphone,smartphone,smartphone,smartphone,tablet",5
"smartphone,smartphone,refrigerators",5
"tv,tv,tv,tv,tv,tv,tv,tv,tv,tv,tv,tv,tv,tv,tv",5
"smartphone,tv,tv,smartphone,smartphone",5
"washer,washer,smartphone,smartphone",5
"desktop,monitor",5
"smartphone,subwoofer,smartphone",5
"smartphone,smartphone,smartphone,notebook,smartphone",5
"smartphone,smartphone,smartphone,telephone",5
"washer,tv,tv",5
"smartphone,smartphone,vacuum,vacuum",5
"smartphone,smartphone,smartphone,smartphone,smartphone,tv,smartphone",4
"refrigerators,smartphone,smartphone",4
"smartphone,smartphone,smartphone,smartphone,cabinet",4
"smartphone,headphone,headphone,smartphone,headphone",4
"tv,tv,headphone,headphone",4
"tablet,tablet,smartphone,smartphone,smartphone,smartphone",4
"tv,smartphone,smartphone,washer,smartphone,washer,water_heater",4
"telephone,smartphone,smartphone",4
"smartphone,notebook,notebook,smartphone",4
"tv,tv,washer,tv",4
"smartphone,toys",4
"smartphone,washer,smartphone,washer,refrigerators,refrigerators,refrigerators,smartphone,smartphone,washer",4
"smartphone,smartphone,smartphone,keds",4
"carriage,smartphone",4
"smartphone,smartphone,tv,smartphone,smartphone,smartphone",4
"headphone,vacuum",4
"clocks,clocks,clocks,smartphone,smartphone",4
"refrigerators,smartphone,refrigerators",4
"smartphone,smartphone,smartphone,headphone,headphone",4
"smartphone,smartphone,smartphone,tv,notebook,smartphone,smartphone,smartphone",4
"smartphone,smartphone,smartphone,smartphone,notebook,notebook",4
"smartphone,shoes,shoes,shoes,smartphone,smartphone,smartphone",4
"smartphone,smartphone,smartphone,smartphone,clocks,keds",4
"clocks,smartphone,smartphone,smartphone",4
"tv,tv,tv,notebook,smartphone",4
cartrige,4
"toys,smartphone,smartphone,smartphone,smartphone,smartphone,smartphone",4
"sewing_machine,smartphone",4
"tablet,smartphone,smartphone,smartphone",4
"tv,smartphone,tv",4
"tablet,tablet,notebook",4
"smartphone,desktop,smartphone,smartphone,smartphone,tv,vacuum",4
"meat_grinder,vacuum",4
"smartphone,monitor",4
"clocks,clocks,clocks,clocks,smartphone,smartphone",4
"tv,tv,tv,tv,tv,tv",4
"smartphone,costume",4
"smartphone,smartphone,smartphone,smartphone,smartphone,notebook",4
"washer,oven",4
"smartphone,smartphone,tv,tv,smartphone",4
"vacuum,refrigerators",4
"tv,acoustic",4
"refrigerators,refrigerators,smartphone",4
"smartphone,smartphone,sewing_machine",4
"smartphone,smartphone,smartphone,smartphone,shoes",4
"smartphone,smartphone,saw",4
"tv,tablet",4
"air_conditioner,air_conditioner",4
